ID,ZIP,Latitude,Longitude,City,State,County,Zip,Country,Congressional District
8053,83644,43.70683,-116.62014,Middleton,ID,Canyon County,83644,US,ID1
8054,85043,33.431905,-112.196998,Phoenix,AZ,Maricopa County,85043,US,AZ3
8055,50433,42.92219,-93.04214,Dougherty,IA,Cerro Gordo County,50433,US,IA2
8056,17042,40.331594,-76.397634,Lebanon,PA,Lebanon County,17042,US,PA9
8057,32118,29.208908,-81.00227,Daytona Beach,FL,Volusia County,32118,US,FL6
8058,32466,30.383156,-85.51506,Youngstown,FL,Bay County,32466,US,FL2
8059,93514,37.491769,-118.389367,Bishop,CA,Mono County,93514,US,CA3
8060,46784,41.49616,-85.37665,Rome City,IN,Noble County,46784,US,IN3
8061,98840,48.36126,-119.58339,Okanogan,WA,Okanogan County,98840,US,WA4
8062,20622,38.48096,-76.77802,Charlotte Hall,MD,St. Mary's County,20622,US,MD5
8063,18517,41.382529,-75.713185,Taylor,PA,Lackawanna County,18517,US,PA8
8064,85344,34.15002,-114.28912,Parker,AZ,LA Paz County,85344,US,AZ9
8065,28479,34.155253,-78.055776,Winnabow,NC,Brunswick County,28479,US,NC7
8066,40258,38.145719,-85.864063,Louisville,KY,Jefferson County,40258,US,KY3
8067,92014,32.95949,-117.26531,Del Mar,CA,San Diego County,92014,US,CA50
8068,20112,38.668375,-77.427104,Manassas,VA,Prince William County,20112,US,VA10
8069,85634,31.92031,-111.87716,Sells,AZ,Pima County,85634,US,AZ7
8070,80443,39.558929,-106.133183,Frisco,CO,Summit County,80443,US,CO2
8071,12901,44.704021,-73.471148,Plattsburgh,NY,Clinton County,12901,US,NY21
8072,84003,40.395796,-111.803101,American Fork,UT,Utah County,84003,US,UT3
8073,27516,35.946263,-79.136862,Chapel Hill,NC,Orange County,27516,US,NC4
8074,65068,38.819678,-92.606295,Prairie Home,MO,Cooper County,65068,US,MO3
8075,48315,42.671025,-82.998811,Utica,MI,Macomb County,48315,US,MI10
8076,60629,41.775868,-87.711496,Chicago,IL,Cook County,60629,US,IL4
8077,93514,37.491769,-118.389367,Bishop,CA,Mono County,93514,US,CA3
8078,57037,43.068331,-97.130498,Irene,SD,Clay County,57037,US,SD0
8079,42754,37.460336,-86.324894,Leitchfield,KY,Grayson County,42754,US,KY2
8080,3054,42.86509,-71.4934,Merrimack,NH,Hillsborough County,3054,US,NH1
8081,68663,41.303844,-97.723453,Silver Creek,NE,Merrick County,68663,US,NE3
8082,2852,41.586851,-71.464801,North Kingstown,RI,Washington County,2852,US,RI2
